------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
1 炼金B 肾上B 肾上B 接地B
2 信号B 力竭B 辅助B 投诚B
3 战地B 过载B 硬化B 信号B
4 绝缘B 炮火B 辅助B 情报B
5 保险B 昏沉B 信号B 硬化B
6 肾上B 昏沉B 硬化B 炼金B
7 过热S 信号B 昏沉B 过载B
8 辅助B 活力B 昏沉B 投诚B
9 炮火B 信号B 炼金B 炮火B
10 力竭B 硬化B 辅助B 加固B
11 情报B 战地B 硬化S 过热S
12 保险B 信号B 战地B 加固B
13 保险B 投诚B 加固B 修补B
14 炼金B 情报B 炼金B 能量B
15 保险B 接地B 硬化S 炮火B
16 加固B 修补S 肾上B 过热B
17 炼金B 修补B 投诚B 过热B
18 硬化B 信号B 力竭B 修补B
19 干扰B 肾上B 活力B 炮火B
20 干扰B 加固B 硬化B 加固B
21 炼金B 炮火B 投诚B 过热B
22 修补S 信号B 辅助B 修补S
23 战地B 绝缘B 力竭B 情报B
24 活力B 信号B 活力B 炮火B
25 保险B 情报B 过载B 绝缘B
26 力竭S 修补S 力竭S 炮火B
27 投诚B 炼金B 过热B 信号B
28 情报B 干扰S 肾上B 过载B
29 干扰B 保险B 修补B 加固B
30 战地B 干扰B 绝缘B 辅助B
31 信号B 战地B 辅助B 加固B
32 信号B 投诚B 辅助B 信号B
33 炮火B 投诚B 辅助B 接地S
34 战地B 活力B 活力B 投诚B
35 加固B 干扰S 加固B 加固B
36 炼金B 接地B 信号B 力竭B
37 干扰B 信号B 硬化B 昏沉B
38 炼金B 投诚B 过热S 加固B
39 炮火B 炮火B 炼金B 加固B
40 保险B 过热B 力竭B 保险B
41 加固B 修补B 接地B 炮火B
42 干扰B 炮火B 肾上B 修补B
43 情报B 投诚B 绝缘B 修补B
44 炼金B 辅助B 活力B 炮火B
45 炼金B 干扰B 硬化B 修补B
46 干扰B 信号B 绝缘B 加固B
47 过热B 干扰B 干扰B 加固S
48 昏沉B 投诚B 辅助S 情报B
49 炼金B 信号B 力竭S 过热B
50 过热B 情报B 过载B 接地B
51 保险B 力竭B 加固B 接地B
52 辅助B 干扰B 加固B 炮火B
53 硬化B 修补B 绝缘B 情报B
54 昏沉S 活力B 硬化S 辅助B
55 炼金B 修补B 辅助B 活力B
56 力竭B 硬化B 能量B 过载B
57 过载B 情报B 力竭B 接地B
58 昏沉S 保险B 炮火B 信号B
59 炼金B 干扰B 干扰B 修补B
60 力竭B 投诚B 过载B 炼金B
61 战地B 肾上B 投诚B 能量B
62 保险B 情报B 硬化B 加固B
63 战地B 信号B 投诚B 加固B
64 肾上B 能量B 活力B 绝缘B
65 保险B 情报B 接地B 炼金B
66 力竭B 修补B 硬化B 炮火B
67 力竭B 昏沉B 力竭B 能量B
68 肾上B 过载B 能量B 投诚B
69 炮火B 绝缘B 绝缘B 炮火B
70 炼金B 昏沉B 保险B 修补B
71 炼金B 加固B 情报B 保险B
72 炮火B 干扰B 战地B 加固B
73 保险B 战地B 肾上B 硬化B
74 昏沉B 投诚B 绝缘B 炮火B
75 过载B 情报S 活力B 活力B
76 肾上B 辅助B 肾上B 硬化B
77 活力B 加固B 过热B 加固B
78 辅助B 修补B 过载B 辅助B
79 炮火B 保险B 活力B 肾上B
80 战地B 接地B 过热B 信号B
81 信号B 昏沉B 炮火B 修补B
82 炮火B 投诚B 信号B 炮火B
83 活力B 硬化B 情报B 加固B
84 炼金B 过热B 绝缘B 力竭B
85 信号B 投诚B 炼金B 加固B
86 炮火B 干扰B 活力B 炼金B
87 战地B 炼金B 情报B 修补B
88 活力B 过载B 绝缘B 力竭B
89 战地B 炮火B 情报B 接地B
90 能量B 昏沉B 投诚S 干扰S
91 战地B 修补B 肾上B 昏沉B
92 炼金B 炮火B 修补B 能量B
93 炼金B 干扰B 接地B 能量B
94 保险B 修补S 过热B 加固B
95 干扰B 力竭B 硬化B 保险B
96 绝缘B 信号B 活力B 炮火B
97 情报B 干扰S 力竭B 辅助B
98 炼金B 保险B 过载B 硬化B
99 炼金B 昏沉B 过热B 炮火B
100 过热B 炮火B 过热B 投诚B
101 保险B 过载B 接地B 接地B
102 投诚B 肾上B 活力B 活力B
103 炼金B 炼金B 力竭B 能量B
104 硬化B 炼金B 肾上B 辅助B
105 加固B 硬化B 肾上B 辅助B
106 肾上B 肾上B 投诚B 过载B
107 炼金B 绝缘B 力竭B 接地B
108 硬化S 能量B 力竭B 情报B
109 干扰B 炮火B 过热B 加固B
110 能量B 战地B 辅助S 加固S
111 炼金B 昏沉B 硬化B 力竭B
112 炼金B 昏沉B 战地B 炮火B
113 活力B 辅助B 辅助B 绝缘B
114 信号B 投诚B 过载B 能量B
115 投诚B 过载B 绝缘B 修补B
116 情报B 信号B 加固B 力竭B
117 修补S 昏沉B 昏沉B 信号B
118 投诚B 战地B 情报B 炮火B
119 过载B 加固B 硬化B 炮火B
120 加固B 绝缘B 过载B 接地B
121 战地B 干扰B 信号B 硬化S
122 活力B 炮火B 过载B 辅助B
123 信号B 能量B 干扰B 能量B
124 硬化B 投诚B 能量B 过热B
125 干扰B 投诚B 保险B 炮火B
126 炼金B 昏沉B 投诚B 加固B
127 辅助B 活力B 能量B 能量B
128 保险B 战地B 信号B 硬化B
129 干扰B 昏沉B 活力B 肾上B
130 战地B 肾上B 炼金B 信号B
131 辅助B 炮火B 炮火B 投诚B
132 保险B 炮火B 过载B 炮火B
133 辅助B 能量B 辅助B 炮火B
134 保险B 过热B 过热B 战地B
135 活力B 昏沉S 辅助B 硬化S
136 情报B 硬化B 过载B 炮火B
137 绝缘B 信号B 力竭B 保险S
138 接地B 干扰B 修补B 干扰B
139 加固B 力竭S 炼金B 干扰S
140 修补B 昏沉B 过热B 修补B
141 炼金B 投诚B 辅助B 硬化B
142 干扰B 辅助B 活力B 干扰B
143 炮火B 炮火B 过载S 投诚B
144 活力B 昏沉B 昏沉S 接地B
145 接地B 硬化B 能量B 炼金B
146 昏沉B 保险B 力竭B 情报B
147 炼金B 投诚B 过载B 能量B
148 修补B 昏沉B 绝缘B 炼金B
149 炮火B 活力B 情报B 绝缘B
150 硬化B 信号B 绝缘B 炮火B
151 情报B 昏沉B 活力B 肾上B
152 炼金B 修补B 干扰B 炮火B
153 力竭B 投诚B 辅助B 炮火B
154 辅助B 硬化B 过热B 炮火B
155 炼金B 投诚B 力竭B 昏沉B
156 战地B 保险B 加固B 能量B
157 炼金B 昏沉S 活力B 炮火B
158 信号B 活力B 辅助B 力竭B
159 炼金B 过热B 绝缘B 炮火B
160 战地B 昏沉B 过载B 过热B
161 战地B 炮火B 炼金B 情报B
162 接地B 炮火B 昏沉B 炮火B
163 辅助B 保险B 过热B 昏沉B
164 干扰S 炮火B 力竭B 投诚S
165 投诚B 昏沉B 昏沉B 情报B
166 战地B 加固B 能量B 加固B
167 能量B 投诚B 干扰B 信号B
168 绝缘B 加固B 能量B 活力B
169 昏沉B 干扰B 绝缘B 加固B
170 硬化B 战地B 投诚B 接地B
171 绝缘B 加固B 修补B 情报B
172 能量B 信号B 保险S 昏沉B
173 活力B 力竭B 硬化B 修补B
174 干扰B 加固B 干扰B 加固B
175 信号B 干扰B 硬化B 过载B
176 炮火B 力竭B 力竭B 能量B
177 战地B 修补B 过热S 能量B
178 战地B 干扰B 力竭B 信号B
179 加固B 保险B 绝缘B 辅助B
180 过热B 昏沉B 投诚B 修补B
181 战地B 肾上B 肾上B 能量B
182 炼金B 投诚B 活力B 能量B
183 能量B 昏沉B 过热S 绝缘B
184 保险B 硬化B 过载B 炮火B
185 情报B 投诚B 过载B 战地B
186 炮火B 修补B 信号B 炮火B
187 炼金B 昏沉B 活力B 接地B
188 炼金B 投诚B 炼金B 炮火B
189 炼金B 过热B 投诚B 接地B
190 能量B 昏沉B 活力B 干扰B
191 情报B 硬化B 活力B 保险B
192 加固B 干扰B 过载B 力竭B
193 活力B 投诚B 能量B 力竭B
194 辅助B 信号B 信号B 能量B
195 保险B 绝缘B 投诚B 肾上B
196 昏沉B 炼金B 绝缘B 力竭B
197 过热B 信号B 力竭B 绝缘B
198 力竭B 修补B 过热S 能量B
199 昏沉B 修补S 过载S 保险S
200 投诚B 战地B 硬化B 肾上B
201 接地S 干扰B 昏沉B 硬化B
202 保险B 修补S 绝缘B 炮火B
