------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
1 硬化B 修补B 活力B 情报B
2 保险B 昏沉B 干扰B 辅助B
3 辅助B 绝缘B 肾上B 硬化B
4 接地B 硬化B 辅助B 投诚B
5 肾上B 情报B 过载B 战地B
6 战地B 信号B 投诚B 保险S
7 炼金B 活力B 硬化B 辅助B
8 炼金B 情报B 炼金B 过热B
9 炼金B 加固B 过载B 情报B
10 昏沉S 信号B 力竭S 力竭S
11 修补B 投诚B 硬化B 加固B
12 干扰B 干扰B 战地B 加固B
13 肾上B 昏沉B 炼金B 干扰B
14 战地B 昏沉B 硬化B 绝缘B
15 能量B 信号B 修补B 过载B
16 战地B 过载B 信号B 肾上B
17 修补S 炼金B 硬化S 加固B
18 炼金B 保险B 力竭B 加固B
19 加固B 加固B 辅助B 接地S
20 保险S 能量B 力竭B 战地B
21 硬化B 修补B 炼金B 战地B
22 战地B 投诚B 辅助B 炼金B
23 信号S 投诚S 力竭S 信号S
24 情报B 昏沉B 活力B 修补B
25 加固B 修补B 投诚B 加固B
26 修补B 绝缘B 能量B 硬化B
27 接地S 昏沉B 活力B 保险S
28 肾上S 昏沉S 过热B 昏沉B
29 干扰B 保险B 干扰B 硬化B
30 能量B 炼金B 辅助B 能量B
31 情报B 投诚S 过热B 干扰S
32 战地B 加固B 投诚B 投诚B
33 干扰B 绝缘B 修补B 力竭B
34 活力B 修补B 昏沉B 炼金B
35 战地B 投诚B 硬化B 保险B
36 辅助B 辅助B 力竭B 修补B
37 昏沉B 干扰S 过载B 辅助B
38 活力B 干扰B 过载B 接地B
39 活力B 信号B 过载B 投诚B
40 接地B 情报B 力竭B 硬化S
41 加固B 能量B 活力B 过载B
42 活力B 过热B 绝缘B 活力B
43 过热S 投诚B 保险B 修补B
44 保险B 信号B 肾上B 能量B
45 硬化S 干扰B 能量B 能量B
46 情报B 投诚B 保险B 硬化B
47 力竭B 干扰B 辅助B 接地B
48 战地B 昏沉B 辅助B 能量B
49 保险S 昏沉B 硬化B 过热S
50 力竭S 修补B 加固B 加固B
