------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
1 保险S 炮火B 力竭B 能量B
2 投诚B 过载B 过载B 肾上B
3 炼金B 干扰B 投诚B 信号B
4 能量B 力竭B 接地B 接地B
5 接地B 信号B 辅助B 炮火B
6 战地B 修补B 干扰B 投诚B
7 修补B 投诚B 修补B 炮火B
8 保险B 修补B 干扰B 信号B
9 活力B 过热B 过载B 加固B
10 炮火B 炮火B 保险S 投诚B
11 保险S 活力B 过热S 接地B
12 炼金B 炮火B 绝缘B 战地B
13 加固B 过载B 活力B 昏沉B
14 保险B 肾上B 绝缘B 绝缘B
15 干扰B 修补B 昏沉B 肾上B
16 力竭B 接地B 保险S 炮火B
17 保险B 干扰S 过热B 加固B
18 炼金B 情报B 肾上B 保险S
19 战地B 接地B 肾上B 炼金B
20 接地S 修补B 炼金B 保险S
21 保险B 修补B 战地B 肾上B
22 昏沉B 过热B 投诚B 干扰B
23 投诚B 情报B 投诚B 修补B
24 炼金B 肾上B 肾上B 接地B
25 信号B 力竭B 辅助B 投诚B
26 战地B 过载B 硬化B 信号B
27 绝缘B 炮火B 辅助B 情报B
28 保险B 昏沉B 信号B 硬化B
29 肾上B 昏沉B 硬化B 炼金B
30 过热S 信号B 昏沉B 过载B
