------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
1 接地B 炼金B 昏沉B 活力B
2 接地B 投诚B 过载B 信号B
3 力竭B 修补B 肾上B 活力B
4 活力B 接地B 绝缘B 活力B
5 接地B 昏沉B 炮火B 投诚B
6 能量B 干扰B 辅助B 信号B
7 肾上B 昏沉B 肾上B 投诚B
8 投诚B 昏沉B 肾上B 能量B
9 战地B 干扰B 绝缘B 炮火B
10 情报B 炮火B 硬化B 炮火B
11 战地B 辅助B 过热S 硬化B
12 昏沉S 信号B 活力B 炮火B
13 能量B 活力B 绝缘B 加固B
14 炼金B 投诚S 活力B 炼金B
15 绝缘B 接地B 力竭S 保险B
16 战地B 活力B 战地B 绝缘B
17 炼金B 硬化B 活力B 炮火B
18 昏沉B 过载B 炮火B 接地B
19 保险B 投诚B 过热B 绝缘B
20 加固B 信号B 力竭B 修补B
21 信号B 投诚B 过热B 过载B
22 力竭B 绝缘B 辅助B 干扰B
23 保险B 保险B 信号B 炼金B
24 战地B 过载B 肾上B 投诚B
25 情报B 修补S 肾上B 炮火B
26 过载B 硬化B 过热B 炮火B
27 过热S 修补B 战地B 加固S
28 昏沉B 能量B 力竭B 炮火B
29 活力B 辅助B 过热S 加固B
30 干扰B 修补B 接地B 信号B
